Timestamp,Agent ID,Zone,CPU(%),RAM(%),Total RAM(GB),Disk(%),Total Disk(GB),Free Disk(GB)
1762186982070,Quang,Lab-301,-100.00,70.70,15.74,27.28,100.00,72.72
1762186983067,Quang,Lab-301,-100.00,70.42,15.74,27.28,100.00,72.72
1762186984082,Quang,Lab-301,-100.00,69.80,15.74,27.28,100.00,72.72
1762186985129,Quang,Lab-301,-100.00,70.40,15.74,27.28,100.00,72.72
1762186986150,Quang,Lab-301,-100.00,70.56,15.74,27.28,100.00,72.72
1762186987156,Quang,Lab-301,-100.00,70.72,15.74,27.28,100.00,72.72
1762186988158,Quang,Lab-301,-100.00,70.83,15.74,27.28,100.00,72.72
1762186989146,Quang,Lab-301,-100.00,71.51,15.74,27.28,100.00,72.72
1762186990210,Quang,Lab-301,-100.00,70.77,15.74,27.28,100.00,72.72
1762186991201,Quang,Lab-301,-100.00,70.53,15.74,27.28,100.00,72.72
1762186992219,Quang,Lab-301,-100.00,70.51,15.74,27.28,100.00,72.72
1762186993222,Quang,Lab-301,-100.00,70.50,15.74,27.28,100.00,72.72
1762186994240,Quang,Lab-301,-100.00,70.47,15.74,27.28,100.00,72.72
1762186995253,Quang,Lab-301,-100.00,70.51,15.74,27.28,100.00,72.72
1762186996248,Quang,Lab-301,-100.00,70.51,15.74,27.28,100.00,72.72
1762186997262,Quang,Lab-301,-100.00,70.50,15.74,27.28,100.00,72.72
1762186998274,Quang,Lab-301,-100.00,70.50,15.74,27.28,100.00,72.72
1762186999306,Quang,Lab-301,-100.00,70.52,15.74,27.28,100.00,72.72
1762187000275,Quang,Lab-301,-100.00,70.40,15.74,27.28,100.00,72.72
1762187001292,Quang,Lab-301,-100.00,70.38,15.74,27.28,100.00,72.72
1762187002327,Quang,Lab-301,-100.00,70.66,15.74,27.28,100.00,72.72
1762187003366,Quang,Lab-301,-100.00,70.81,15.74,27.28,100.00,72.72
1762187004362,Quang,Lab-301,-100.00,70.83,15.74,27.28,100.00,72.72
1762187005353,Quang,Lab-301,-100.00,70.83,15.74,27.28,100.00,72.72
1762187006374,Quang,Lab-301,-100.00,70.84,15.74,27.28,100.00,72.72
1762187007367,Quang,Lab-301,-100.00,70.93,15.74,27.28,100.00,72.72
1762187008402,Quang,Lab-301,-100.00,70.91,15.74,27.28,100.00,72.72
1762187009418,Quang,Lab-301,-100.00,70.78,15.74,27.28,100.00,72.72
1762187010401,Quang,Lab-301,-100.00,70.68,15.74,27.28,100.00,72.72
1762187011422,Quang,Lab-301,-100.00,70.65,15.74,27.28,100.00,72.72
1762187012432,Quang,Lab-301,-100.00,70.32,15.74,27.28,100.00,72.72
1762187013450,Quang,Lab-301,-100.00,70.17,15.74,27.28,100.00,72.72
1762187014454,Quang,Lab-301,-100.00,70.14,15.74,27.28,100.00,72.72
1762187015443,Quang,Lab-301,-100.00,69.95,15.74,27.28,100.00,72.72
1762187016464,Quang,Lab-301,-100.00,69.93,15.74,27.28,100.00,72.72
1762187017477,Quang,Lab-301,-100.00,69.94,15.74,27.28,100.00,72.72
1762187018469,Quang,Lab-301,-100.00,69.94,15.74,27.28,100.00,72.72
1762187019482,Quang,Lab-301,-100.00,69.95,15.74,27.28,100.00,72.72
1762187020504,Quang,Lab-301,-100.00,69.92,15.74,27.28,100.00,72.72
1762187021502,Quang,Lab-301,-100.00,69.92,15.74,27.28,100.00,72.72
1762187022487,Quang,Lab-301,-100.00,70.04,15.74,27.28,100.00,72.72
1762187023504,Quang,Lab-301,-100.00,70.07,15.74,27.28,100.00,72.72
1762187024515,Quang,Lab-301,-100.00,70.49,15.74,27.28,100.00,72.72
1762187025526,Quang,Lab-301,-100.00,70.49,15.74,27.28,100.00,72.72
1762187026530,Quang,Lab-301,-100.00,71.08,15.74,27.28,100.00,72.72
1762187027555,Quang,Lab-301,-100.00,71.40,15.74,27.28,100.00,72.72
1762187028569,Quang,Lab-301,-100.00,71.43,15.74,27.28,100.00,72.72
1762187029549,Quang,Lab-301,-100.00,71.08,15.74,27.28,100.00,72.72
1762187030570,Quang,Lab-301,-100.00,70.95,15.74,27.28,100.00,72.72
1762187031590,Quang,Lab-301,-100.00,71.22,15.74,27.28,100.00,72.72
1762187032584,Quang,Lab-301,-100.00,71.04,15.74,27.28,100.00,72.72
1762187033595,Quang,Lab-301,-100.00,70.80,15.74,27.28,100.00,72.72
1762187034594,Quang,Lab-301,-100.00,70.78,15.74,27.28,100.00,72.72
1762187035642,Quang,Lab-301,-100.00,70.78,15.74,27.28,100.00,72.72
1762187036667,Quang,Lab-301,-100.00,70.74,15.74,27.28,100.00,72.72
1762187037667,Quang,Lab-301,-100.00,70.68,15.74,27.28,100.00,72.72
1762187038666,Quang,Lab-301,-100.00,70.64,15.74,27.28,100.00,72.72
1762187039654,Quang,Lab-301,-100.00,70.55,15.74,27.28,100.00,72.72
1762187040658,Quang,Lab-301,-100.00,70.54,15.74,27.28,100.00,72.72
1762187041674,Quang,Lab-301,-100.00,70.52,15.74,27.28,100.00,72.72
1762187042648,Quang,Lab-301,-100.00,70.46,15.74,27.28,100.00,72.72
1762187043692,Quang,Lab-301,-100.00,70.54,15.74,27.28,100.00,72.72
1762187044690,Quang,Lab-301,-100.00,70.55,15.74,27.28,100.00,72.72
1762187045700,Quang,Lab-301,-100.00,70.52,15.74,27.28,100.00,72.72
1762187046697,Quang,Lab-301,-100.00,70.54,15.74,27.28,100.00,72.72
1762187047723,Quang,Lab-301,-100.00,70.54,15.74,27.28,100.00,72.72
1762187048721,Quang,Lab-301,-100.00,70.53,15.74,27.28,100.00,72.72
1762187049738,Quang,Lab-301,-100.00,70.54,15.74,27.28,100.00,72.72
1762187050751,Quang,Lab-301,-100.00,70.55,15.74,27.28,100.00,72.72
1762187051752,Quang,Lab-301,-100.00,70.55,15.74,27.28,100.00,72.72
1762187052777,Quang,Lab-301,-100.00,70.63,15.74,27.28,100.00,72.72
1762187053784,Quang,Lab-301,-100.00,70.59,15.74,27.28,100.00,72.72
1762187054738,Quang,Lab-301,-100.00,70.59,15.74,27.28,100.00,72.72
1762187055785,Quang,Lab-301,-100.00,70.60,15.74,27.28,100.00,72.72
1762187056784,Quang,Lab-301,-100.00,70.58,15.74,27.28,100.00,72.72
1762187057813,Quang,Lab-301,-100.00,70.59,15.74,27.28,100.00,72.72
1762187058798,Quang,Lab-301,-100.00,70.57,15.74,27.28,100.00,72.72
1762187059799,Quang,Lab-301,-100.00,70.57,15.74,27.28,100.00,72.72
1762187060846,Quang,Lab-301,-100.00,70.63,15.74,27.28,100.00,72.72
1762187061852,Quang,Lab-301,-100.00,70.55,15.74,27.28,100.00,72.72
1762187062834,Quang,Lab-301,-100.00,70.75,15.74,27.28,100.00,72.72
1762187063849,Quang,Lab-301,-100.00,70.76,15.74,27.28,100.00,72.72
1762187064867,Quang,Lab-301,-100.00,70.78,15.74,27.28,100.00,72.72
1762187065873,Quang,Lab-301,-100.00,70.77,15.74,27.28,100.00,72.72
1762187066893,Quang,Lab-301,-100.00,70.73,15.74,27.28,100.00,72.72
1762187067922,Quang,Lab-301,-100.00,70.78,15.74,27.28,100.00,72.72
1762187068902,Quang,Lab-301,-100.00,71.10,15.74,27.28,100.00,72.72
1762187069903,Quang,Lab-301,-100.00,71.42,15.74,27.28,100.00,72.72
1762187070891,Quang,Lab-301,-100.00,71.42,15.74,27.28,100.00,72.72
1762187071926,Quang,Lab-301,-100.00,71.42,15.74,27.28,100.00,72.72
1762187072925,Quang,Lab-301,-100.00,71.48,15.74,27.28,100.00,72.72
1762187073904,Quang,Lab-301,-100.00,71.53,15.74,27.28,100.00,72.72
1762187074948,Quang,Lab-301,-100.00,71.55,15.74,27.28,100.00,72.72
1762187075935,Quang,Lab-301,-100.00,71.56,15.74,27.28,100.00,72.72
1762187076956,Quang,Lab-301,-100.00,71.57,15.74,27.28,100.00,72.72
1762187077958,Quang,Lab-301,-100.00,71.70,15.74,27.28,100.00,72.72
1762187078970,Quang,Lab-301,-100.00,71.99,15.74,27.28,100.00,72.72
1762187080014,Quang,Lab-301,-100.00,72.08,15.74,27.28,100.00,72.72
1762187080996,Quang,Lab-301,-100.00,72.07,15.74,27.28,100.00,72.72
1762187081996,Quang,Lab-301,-100.00,72.13,15.74,27.28,100.00,72.72
1762187082999,Quang,Lab-301,-100.00,72.18,15.74,27.28,100.00,72.72
1762187084014,Quang,Lab-301,-100.00,72.14,15.74,27.28,100.00,72.72
1762187085008,Quang,Lab-301,-100.00,72.07,15.74,27.28,100.00,72.72
1762187086031,Quang,Lab-301,-100.00,71.95,15.74,27.28,100.00,72.72
1762187087037,Quang,Lab-301,-100.00,71.80,15.74,27.28,100.00,72.72
1762187088053,Quang,Lab-301,-100.00,71.82,15.74,27.28,100.00,72.72
1762187089051,Quang,Lab-301,-100.00,71.67,15.74,27.28,100.00,72.72
1762187090057,Quang,Lab-301,-100.00,71.71,15.74,27.28,100.00,72.72
1762187091053,Quang,Lab-301,-100.00,71.71,15.74,27.28,100.00,72.72
1762187092083,Quang,Lab-301,-100.00,71.73,15.74,27.28,100.00,72.72
1762187093091,Quang,Lab-301,-100.00,71.36,15.74,27.28,100.00,72.72
1762187094098,Quang,Lab-301,-100.00,71.35,15.74,27.28,100.00,72.72
1762187095095,Quang,Lab-301,-100.00,71.36,15.74,27.28,100.00,72.72
1762187096107,Quang,Lab-301,-100.00,71.39,15.74,27.28,100.00,72.72
1762187097098,Quang,Lab-301,-100.00,71.31,15.74,27.28,100.00,72.72
1762187098146,Quang,Lab-301,-100.00,71.51,15.74,27.28,100.00,72.72
1762187099146,Quang,Lab-301,-100.00,71.44,15.74,27.28,100.00,72.72
1762187100155,Quang,Lab-301,-100.00,71.49,15.74,27.28,100.00,72.72
1762187101170,Quang,Lab-301,-100.00,71.47,15.74,27.28,100.00,72.72
1762187102188,Quang,Lab-301,-100.00,71.65,15.74,27.28,100.00,72.72
1762187103173,Quang,Lab-301,-100.00,71.72,15.74,27.28,100.00,72.72
1762187104184,Quang,Lab-301,-100.00,71.74,15.74,27.28,100.00,72.72
1762187105176,Quang,Lab-301,-100.00,71.74,15.74,27.28,100.00,72.72
1762187106204,Quang,Lab-301,-100.00,71.68,15.74,27.28,100.00,72.72
1762187107250,Quang,Lab-301,-100.00,72.43,15.74,27.28,100.00,72.72
1762187108230,Quang,Lab-301,-100.00,73.79,15.74,27.28,100.00,72.72
1762187109251,Quang,Lab-301,-100.00,74.59,15.74,27.28,100.00,72.72
1762187110240,Quang,Lab-301,-100.00,75.66,15.74,27.28,100.00,72.72
1762187111282,Quang,Lab-301,-100.00,76.48,15.74,27.28,100.00,72.72
1762187112276,Quang,Lab-301,-100.00,76.33,15.74,27.28,100.00,72.72
1762187113261,Quang,Lab-301,-100.00,76.39,15.74,27.28,100.00,72.72
1762187114274,Quang,Lab-301,-100.00,75.27,15.74,27.28,100.00,72.72
1762187115284,Quang,Lab-301,-100.00,75.27,15.74,27.28,100.00,72.72
1762187116311,Quang,Lab-301,-100.00,75.21,15.74,27.28,100.00,72.72
1762187117312,Quang,Lab-301,-100.00,75.16,15.74,27.28,100.00,72.72
1762187118318,Quang,Lab-301,-100.00,75.06,15.74,27.28,100.00,72.72
1762187119350,Quang,Lab-301,-100.00,75.23,15.74,27.28,100.00,72.72
1762187120341,Quang,Lab-301,-100.00,75.21,15.74,27.28,100.00,72.72
1762187121342,Quang,Lab-301,-100.00,75.20,15.74,27.28,100.00,72.72
1762187122351,Quang,Lab-301,-100.00,75.42,15.74,27.28,100.00,72.72
1762187123347,Quang,Lab-301,-100.00,75.68,15.74,27.28,100.00,72.72
1762187124380,Quang,Lab-301,-100.00,75.71,15.74,27.28,100.00,72.72
1762187125394,Quang,Lab-301,-100.00,75.37,15.74,27.28,100.00,72.72
1762187126410,Quang,Lab-301,-100.00,75.35,15.74,27.28,100.00,72.72
1762187127404,Quang,Lab-301,-100.00,75.48,15.74,27.28,100.00,72.72
1762187128422,Quang,Lab-301,-100.00,75.42,15.74,27.28,100.00,72.72
1762187129418,Quang,Lab-301,-100.00,75.76,15.74,27.28,100.00,72.72
1762187130422,Quang,Lab-301,-100.00,75.90,15.74,27.28,100.00,72.72
1762187131418,Quang,Lab-301,-100.00,76.66,15.74,27.28,100.00,72.72
1762187132438,Quang,Lab-301,-100.00,77.13,15.74,27.28,100.00,72.72
1762187133456,Quang,Lab-301,-100.00,77.71,15.74,27.28,100.00,72.72
1762187134478,Quang,Lab-301,-100.00,77.33,15.74,27.28,100.00,72.72
1762187135447,Quang,Lab-301,-100.00,77.67,15.74,27.28,100.00,72.72
1762187136468,Quang,Lab-301,-100.00,77.71,15.74,27.28,100.00,72.72
1762187137470,Quang,Lab-301,-100.00,77.61,15.74,27.28,100.00,72.72
1762187138489,Quang,Lab-301,-100.00,78.40,15.74,27.28,100.00,72.72
1762187139488,Quang,Lab-301,-100.00,78.39,15.74,27.28,100.00,72.72
1762187140498,Quang,Lab-301,-100.00,78.58,15.74,27.28,100.00,72.72
1762187141499,Quang,Lab-301,-100.00,78.73,15.74,27.28,100.00,72.72
1762187142506,Quang,Lab-301,-100.00,80.40,15.74,27.28,100.00,72.72
1762187143529,Quang,Lab-301,-100.00,80.40,15.74,27.28,100.00,72.72
1762187144509,Quang,Lab-301,-100.00,80.42,15.74,27.28,100.00,72.72
1762187145524,Quang,Lab-301,-100.00,80.51,15.74,27.28,100.00,72.72
1762187146532,Quang,Lab-301,-100.00,80.55,15.74,27.28,100.00,72.72
1762187147539,Quang,Lab-301,-100.00,80.08,15.74,27.28,100.00,72.72
1762187148545,Quang,Lab-301,-100.00,80.14,15.74,27.28,100.00,72.72
1762187149554,Quang,Lab-301,-100.00,80.09,15.74,27.28,100.00,72.72
1762187150553,Quang,Lab-301,-100.00,80.11,15.74,27.28,100.00,72.72
1762187151579,Quang,Lab-301,-100.00,80.01,15.74,27.28,100.00,72.72
1762187152579,Quang,Lab-301,-100.00,79.97,15.74,27.28,100.00,72.72
1762187153573,Quang,Lab-301,-100.00,79.60,15.74,27.28,100.00,72.72
1762187154603,Quang,Lab-301,-100.00,79.44,15.74,27.28,100.00,72.72
1762187155590,Quang,Lab-301,-100.00,79.50,15.74,27.28,100.00,72.72
1762187156590,Quang,Lab-301,-100.00,79.51,15.74,27.28,100.00,72.72
1762187157589,Quang,Lab-301,-100.00,79.50,15.74,27.28,100.00,72.72
1762187158625,Quang,Lab-301,-100.00,79.49,15.74,27.28,100.00,72.72
1762187159643,Quang,Lab-301,-100.00,79.20,15.74,27.28,100.00,72.72
1762187160626,Quang,Lab-301,-100.00,79.40,15.74,27.28,100.00,72.72
1762187161656,Quang,Lab-301,-100.00,79.38,15.74,27.28,100.00,72.72
1762187162672,Quang,Lab-301,-100.00,79.38,15.74,27.28,100.00,72.72
1762187163680,Quang,Lab-301,-100.00,79.34,15.74,27.28,100.00,72.72
1762187164663,Quang,Lab-301,-100.00,79.24,15.74,27.28,100.00,72.72
1762187165684,Quang,Lab-301,-100.00,79.27,15.74,27.28,100.00,72.72
1762187166709,Quang,Lab-301,-100.00,79.26,15.74,27.28,100.00,72.72
1762187167701,Quang,Lab-301,-100.00,78.96,15.74,27.28,100.00,72.72
1762187168694,Quang,Lab-301,-100.00,78.99,15.74,27.28,100.00,72.72
1762187169715,Quang,Lab-301,-100.00,78.91,15.74,27.28,100.00,72.72
1762187170711,Quang,Lab-301,-100.00,79.48,15.74,27.28,100.00,72.72
1762187171707,Quang,Lab-301,-100.00,79.60,15.74,27.28,100.00,72.72
1762187172714,Quang,Lab-301,-100.00,79.83,15.74,27.28,100.00,72.72
1762187173720,Quang,Lab-301,-100.00,79.94,15.74,27.28,100.00,72.72
1762187174765,Quang,Lab-301,-100.00,79.17,15.74,27.28,100.00,72.72
1762187175771,Quang,Lab-301,-100.00,79.42,15.74,27.28,100.00,72.72
1762187176759,Quang,Lab-301,-100.00,79.92,15.74,27.28,100.00,72.72
1762187177794,Quang,Lab-301,-100.00,80.16,15.74,27.28,100.00,72.72
1762187178788,Quang,Lab-301,-100.00,80.17,15.74,27.28,100.00,72.72
1762187179799,Quang,Lab-301,-100.00,79.96,15.74,27.28,100.00,72.72
1762187180813,Quang,Lab-301,-100.00,80.81,15.74,27.28,100.00,72.72
1762187181831,Quang,Lab-301,-100.00,79.96,15.74,27.28,100.00,72.72
1762187182837,Quang,Lab-301,-100.00,80.44,15.74,27.28,100.00,72.72
1762187183831,Quang,Lab-301,-100.00,79.06,15.74,27.28,100.00,72.72
1762187184843,Quang,Lab-301,-100.00,79.04,15.74,27.28,100.00,72.72
1762187185831,Quang,Lab-301,-100.00,79.01,15.74,27.28,100.00,72.72
1762187186835,Quang,Lab-301,-100.00,79.38,15.74,27.28,100.00,72.72
1762187187842,Quang,Lab-301,-100.00,79.70,15.74,27.28,100.00,72.72
1762187188840,Quang,Lab-301,-100.00,79.86,15.74,27.28,100.00,72.72
1762187189844,Quang,Lab-301,-100.00,79.89,15.74,27.28,100.00,72.72
1762187190857,Quang,Lab-301,-100.00,79.82,15.74,27.28,100.00,72.72
1762187191874,Quang,Lab-301,-100.00,79.82,15.74,27.28,100.00,72.72
1762187192874,Quang,Lab-301,-100.00,79.79,15.74,27.28,100.00,72.72
1762187193876,Quang,Lab-301,-100.00,79.57,15.74,27.28,100.00,72.72
1762187194907,Quang,Lab-301,-100.00,79.55,15.74,27.28,100.00,72.72
1762187195902,Quang,Lab-301,-100.00,79.58,15.74,27.28,100.00,72.72
1762187196921,Quang,Lab-301,-100.00,79.58,15.74,27.28,100.00,72.72
1762187197910,Quang,Lab-301,-100.00,79.50,15.74,27.28,100.00,72.72
1762187198918,Quang,Lab-301,-100.00,79.50,15.74,27.28,100.00,72.72
1762187199934,Quang,Lab-301,-100.00,79.82,15.74,27.28,100.00,72.72
1762187200934,Quang,Lab-301,-100.00,79.95,15.74,27.28,100.00,72.72
1762187201939,Quang,Lab-301,-100.00,80.07,15.74,27.28,100.00,72.72
1762187202934,Quang,Lab-301,-100.00,79.85,15.74,27.28,100.00,72.72
1762187203933,Quang,Lab-301,-100.00,79.60,15.74,27.28,100.00,72.72
1762187204974,Quang,Lab-301,-100.00,79.58,15.74,27.28,100.00,72.72
1762187205971,Quang,Lab-301,-100.00,79.60,15.74,27.28,100.00,72.72
1762187206967,Quang,Lab-301,-100.00,79.59,15.74,27.28,100.00,72.72
1762187207974,Quang,Lab-301,-100.00,79.48,15.74,27.28,100.00,72.72
1762187208989,Quang,Lab-301,-100.00,79.52,15.74,27.28,100.00,72.72
1762187209991,Quang,Lab-301,-100.00,79.38,15.74,27.28,100.00,72.72
1762187211017,Quang,Lab-301,-100.00,79.77,15.74,27.28,100.00,72.72
1762187212000,Quang,Lab-301,-100.00,79.76,15.74,27.28,100.00,72.72
1762187213014,Quang,Lab-301,-100.00,79.50,15.74,27.28,100.00,72.72
1762187214006,Quang,Lab-301,-100.00,80.23,15.74,27.28,100.00,72.72
1762187215031,Quang,Lab-301,-100.00,79.45,15.74,27.28,100.00,72.72
1762187216004,Quang,Lab-301,-100.00,79.32,15.74,27.28,100.00,72.72
1762187217030,Quang,Lab-301,-100.00,79.07,15.74,27.28,100.00,72.72
1762187218032,Quang,Lab-301,-100.00,79.11,15.74,27.28,100.00,72.72
1762187219054,Quang,Lab-301,-100.00,79.07,15.74,27.28,100.00,72.72
1762187220047,Quang,Lab-301,-100.00,78.91,15.74,27.28,100.00,72.72
1762187221065,Quang,Lab-301,-100.00,78.95,15.74,27.28,100.00,72.72
